00CH,E02001682,590
00CH,E02001683,610
00CH,E02001684,440
00CH,E02001685,480
00CH,E02001686,570
00CH,E02001687,450
00CH,E02001688,440
00CH,E02001689,420
00CH,E02001690,540
00CH,E02001691,460
00CH,E02001692,450
00CH,E02001693,440
00CH,E02001694,530
00CH,E02001695,600
00CH,E02001696,460
00CH,E02001697,620
00CH,E02001698,670
00CH,E02001699,490
00CH,E02001700,580
00CH,E02001701,620
00CH,E02001702,450
00CH,E02001703,640
00CH,E02001704,450
00CH,E02001705,510
00CH,E02001706,480
00CH,E02001707,520
00CJ,E02001708,650
00CJ,E02001709,740
00CJ,E02001710,460
00CJ,E02001711,500
00CJ,E02001712,750
00CJ,E02001713,800
00CJ,E02001714,720
00CJ,E02001715,510
00CJ,E02001716,650
00CJ,E02001717,530
00CJ,E02001718,460
00CJ,E02001719,590
00CJ,E02001720,700
00CJ,E02001721,500
00CJ,E02001722,480
00CJ,E02001723,510
00CJ,E02001724,620
00CJ,E02001725,460
00CJ,E02001726,470
00CJ,E02001727,500
00CJ,E02001728,520
00CJ,E02001729,450
00CJ,E02001730,450
00CJ,E02001731,420
00CJ,E02001732,460
00CJ,E02001733,440
00CJ,E02001734,470
00CJ,E02001735,400
00CJ,E02001736,400
00CJ,E02001737,390
00CK,E02001738,810
00CK,E02001739,550
00CK,E02001740,860
00CK,E02001741,580
00CK,E02001742,700
00CK,E02001743,610
00CK,E02001744,600
00CK,E02001745,570
00CK,E02001746,580
00CK,E02001747,600
00CK,E02001748,540
00CK,E02001749,600
00CK,E02001750,610
00CK,E02001751,520
00CK,E02001752,490
00CK,E02001753,600
00CK,E02001754,600
00CK,E02001755,650
00CK,E02001756,440
00CK,E02001757,530
00CK,E02001758,590
00CK,E02001759,540
00CK,E02001760,450
00CK,E02001761,480
00CK,E02001762,580
00CK,E02001763,440
00CK,E02001764,490
00CK,E02001765,450
00CK,E02001766,500
00CK,E02001767,480
00CL,E02001768,470
00CL,E02001769,410
00CL,E02001770,510
00CL,E02001771,500
00CL,E02001772,490
00CL,E02001773,640
00CL,E02001774,470
00CL,E02001775,460
00CL,E02001776,480
00CL,E02001777,510
00CL,E02001778,460
00CL,E02001779,450
00CL,E02001780,480
00CL,E02001781,430
00CL,E02001782,450
00CL,E02001783,450
00CL,E02001784,490
00CL,E02001785,530
00CL,E02001786,460
00CL,E02001787,530
00CL,E02001788,520
00CL,E02001789,820
00CL,E02001790,600
00CM,E02001791,620
00CM,E02001792,580
00CM,E02001793,420
00CM,E02001794,440
00CM,E02001795,420
00CM,E02001796,510
00CM,E02001797,640
00CM,E02001798,470
00CM,E02001799,460
00CM,E02001800,590
00CM,E02001801,460
00CM,E02001802,430
00CM,E02001803,410
00CM,E02001804,490
00CM,E02001805,530
00CM,E02001806,390
00CM,E02001807,570
00CM,E02001808,530
00CM,E02001809,580
00CM,E02001810,600
00CM,E02001811,450
00CM,E02001812,680
00CM,E02001813,430
00CM,E02001814,490
00CM,E02001815,640
00CM,E02001816,430
00CM,E02001817,480
00CM,E02001818,510
00CM,E02001819,620
00CM,E02001820,560
00CM,E02001821,570
00CM,E02001822,590
00CM,E02001823,480
00CM,E02001824,550
00CM,E02001825,490
00CM,E02001826,470
00EB,E02002483,590
00EB,E02002484,440
00EB,E02002485,460
00EB,E02002486,850
00EB,E02002487,460
00EB,E02002488,640
00EB,E02002489,460
00EB,E02002490,480
00EB,E02002491,450
00EB,E02002492,470
00EB,E02002493,590
00EB,E02002494,430
00EB,E02002495,620
00EC,E02002496,370
00EC,E02002497,430
00EC,E02002498,390
00EC,E02002499,410
00EC,E02002500,530
00EC,E02002501,470
00EC,E02002502,420
00EC,E02002503,510
00EC,E02002504,630
00EC,E02002505,440
00EC,E02002506,450
00EC,E02002507,670
00EC,E02002508,600
00EC,E02002509,510
00EC,E02002510,660
00EC,E02002511,760
00EC,E02002512,800
00EC,E02002513,540
00EC,E02002514,580
00EE,E02002515,500
00EE,E02002516,520
00EE,E02002517,500
00EE,E02002518,700
00EE,E02002519,510
00EE,E02002520,600
00EE,E02002521,550
00EE,E02002522,370
00EE,E02002523,430
00EE,E02002524,600
00EE,E02002525,500
00EE,E02002526,550
00EE,E02002527,470
00EE,E02002528,570
00EE,E02002529,550
00EE,E02002530,520
00EE,E02002531,540
00EE,E02002532,470
00EE,E02002533,760
00EE,E02002534,780
00EF,E02002535,750
00EF,E02002536,490
00EF,E02002537,460
00EF,E02002538,530
00EF,E02002539,800
00EF,E02002540,690
00EF,E02002541,540
00EF,E02002542,490
00EF,E02002543,480
00EF,E02002544,460
00EF,E02002545,640
00EF,E02002546,480
00EF,E02002547,620
00EF,E02002548,420
00EF,E02002549,650
00EF,E02002550,610
00EF,E02002551,450
00EF,E02002552,530
00EF,E02002553,510
00EF,E02002554,480
00EF,E02002555,710
00EF,E02002556,940
00EF,E02002557,1140
00EF,E02002558,770
00EH,E02002559,760
00EH,E02002560,660
00EH,E02002561,650
00EH,E02002562,490
00EH,E02002563,530
00EH,E02002564,520
00EH,E02002565,610
00EH,E02002566,510
00EH,E02002567,500
00EH,E02002568,730
00EH,E02002569,720
00EH,E02002570,460
00EH,E02002571,500
00EH,E02002572,520
00EH,E02002573,690
00EJ,E02004290,660
00EJ,E02004291,530
00EJ,E02004292,650
00EJ,E02004293,480
00EJ,E02004294,730
00EJ,E02004295,620
00EJ,E02004296,560
00EJ,E02004297,620
00EJ,E02004298,660
00EJ,E02004299,530
00EJ,E02004300,500
00EJ,E02004301,480
00EJ,E02004302,480
00EJ,E02004303,550
00EJ,E02004304,500
00EJ,E02004305,540
00EJ,E02004306,650
00EJ,E02004307,560
00EJ,E02004308,720
00EJ,E02004309,580
00EJ,E02004310,590
00EJ,E02004311,590
00EJ,E02004312,680
00EJ,E02004313,480
00EJ,E02004314,410
00EJ,E02004315,820
