00HC,81.7
40UB,81.7
26UD,81.75
00MA,81.75
24UD,81.75
18UG,81.75
18UL,81.75
26UB,81.8
33UH,81.8
18UH,81.8
19UH,81.8
17UF,81.85
31UD,81.85
42UF,81.85
00AF,81.85
00MB,81.85
24UN,81.85
43UK,81.85
36UC,81.9
31UE,81.9
00CT,81.9
24,81.9
24UP,81.9
38,81.9
43UH,81.9
00HA,81.9
40UF,81.9
26UC,81.95
33UF,81.95
38UD,81.95
23UC,81.95
18UD,82
40UD,82
00FP,82.05
37UJ,82.05
29UB,82.05
45UF,82.05
23UB,82.05
36UB,82.1
47UF,82.1
29UP,82.1
31UB,82.15
34UG,82.15
22UL,82.15
00BA,82.15
29UK,82.15
38UF,82.15
00HD,82.15
22UQ,82.2
26UG,82.2
42UG,82.2
00AX,82.2
11,82.2
43UE,82.2
43UG,82.2
43UJ,82.2
42UE,82.25
00AC,82.25
00NQ,82.25
22UD,82.3
22UF,82.3
11UF,82.3
43,82.3
19,82.3
18UB,82.35
12UC,82.4
21UH,82.45
26UJ,82.55
43UB,82.55
19UG,82.55
45UE,82.75
43UD,82.8
43UL,82.8
21UF,82.85
24UE,82.85
24UJ,82.85
00AQ,82.9
19UE,82.9
11UC,82.95
00MF,83
11UE,83
19UC,83
12UG,83.05
38UE,83.1
00BD,83.2
24UG,83.4
19UD,83.4
43UC,83.7
00AA,84.95
00BK,84.95
00AW,86.7
00HF,85
