ADU 	OITL 	Ardabil Airport 	Ardabil; Iran
ADV 	EGWA 	Andover Airport 	Andover; England; United Kingdom
ADW 	KADW 	Andrews Air Force Base 	Camp Springs; Maryland; United States
ADX 	EGQL 	RAF Leuchars 	St Andrews; Scotland; United Kingdom
ADY 	FAAL 	Alldays Airport 	Alldays; Limpopo; South Africa
ADZ 	SKSP 	Gustavo Rojas Pinilla International Airport 	San Andres Island; Colombia
-AE-
AEA 	NGTB 	Abemama Atoll Airport 	Abemama Atoll; Kiribati
AEB 	ZGBS 	Baise Youjiang Airport 	Baise; Guangxi; China
AED 		Aleneva Airport 	Aleneva; Alaska; United States
AEG 	WIME 	Aek Godang Airport 	Padang Sidempuan; Indonesia
AEH 	FTTC 	Abéché Airport 	Abéché; Chad
AEK 		Aseki Airport 	Aseki; Papua New Guinea
AEL 	KAEL 	Albert Lea Municipal Airport 	Albert Lea; Minnesota; United States
AEO 	GQNA 	Aioun el Atrouss Airport 	Aioun El Atrouss; Mauritania
AEP 	SABE 	Jorge Newbery Airpark 	Buenos Aires; Argentina
AER 	URSS 	Adler-Sochi International Airport 	Sochi; Krasnodar; Russia
AES 	ENAL 	Ålesund Airport; Vigra 	Aalesund; Norway
AET 	PFAL 	Allakaket Airport (FAA: 6A8) 	Allakaket; Alaska; United States
AEX 	KAEX 	Alexandria International Airport 	Alexandria; Louisiana; United States
AEY 	BIAR 	Akureyri Airport 	Akureyri; Iceland
-AF-
AFA 	SAMR 	San Rafael Airport 	San Rafael; Mendoza; Argentina
AFD 	FAPA 	Port Alfred Airport 	Port Alfred; South Africa
AFF 	KAFF 	United States Air Force Academy Airfield 	Colorado Springs; Colorado; United States
AFI 	SKAM 	Amalfi Airport 	Amalfi; Colombia
AFL 	SBAT 	Alta Floresta Airport 	Alta Floresta; Brazil
AFN 	KAFN 	Jaffrey Airport - Silver Ranch Airpark 	Jaffrey; New Hampshire; United States
AFO 	KAFO 	Afton Municipal Airport 	Afton; Wyoming; United States
AFR 		Afore Airport 	Afore; Papua New Guinea
AFT 	AGAF 	Afutara Airport 	Afutara; Solomon Islands
AFW 	KAFW 	Fort Worth Alliance Airport 	Fort Worth; Texas; United States
AFY 	LTAH 	Afyon Airport 	Afyon; Turkey
-AG-
AGA 	GMAD 	Al Massira Airport 	Agadir; Morocco
AGB 	EDMA 	Augsburg Airport 	Augsburg; Bavaria; Germany
AGC 	KAGC 	Allegheny County Airport 	Pittsburgh; Pennsylvania; United States
AGD 		Anggi Airport 	Anggi; Indonesia
AGE 	EDWG 	Wangerooge Airport 	Wangerooge; Lower Saxony; Germany
AGF 	LFBA 	Agen - La Garenne Aerodrome 	Agen; France
