Areacode,Area name
926,UNITED KINGDOM
941,ENGLAND AND WALES
921,ENGLAND
A,NORTH EAST

00EJ,,County Durham UA 
00EH,,Darlington UA
00EB,,Hartlepool UA
00EC,,Middlesbrough UA
00EM,,Northumberland UA 
00EE,,Redcar and Cleveland UA
00EF,,Stockton-on-Tees UA

2D,,Tyne and Wear (Met County)
00CH
00CJ
00CK
00CL
00CM

B,NORTH WEST 

00EX,,Blackburn with Darwen UA
00EY,,Blackpool UA
00EQ,,Cheshire East UA 
00EW,,Cheshire West and Chester UA 
00ET,,Halton UA
00EU,,Warrington UA

16,,Cumbria 
16UB
16UC
16UD
16UE
16UF
16UG

2A,,Greater Manchester (Met County)
00BL
00BM
00BN
00BP
00BQ
00BR
00BS
00BT
00BU
00BW

30,,Lancashire
30UD
30UE
30UF
30UG
30UH
30UJ
30UK
30UL
30UM
30UN
30UP
30UQ

2B,,Merseyside (Met County)
00BX
00BY
00CA
00BZ
00CB

D,YORKSHIRE AND THE HUMBER

00FB,,East Riding of Yorkshire UA
00FA,,"Kingston upon Hull, City of UA"
00FC,,North East Lincolnshire UA
00FD,,North Lincolnshire UA
00FF,,York UA

36,,North Yorkshire
36UB
36UC
36UD
36UE
36UF
36UG
36UH

2C,,South Yorkshire (Met County)
00CC
00CE
00CF
00CG

2F,,West Yorkshire (Met County)
00CX
00CY
00CZ
00DA
00DB

E,EAST MIDLANDS

00FK,,Derby UA 
00FN,,Leicester UA
00FY,,Nottingham UA
00FP,,Rutland UA 

17,,Derbyshire
17UB
17UC
17UD
17UF
17UG
17UH
17UJ
17UK

31,,Leicestershire
31UB
31UC
31UD
31UE
31UG
31UH
31UJ

32,,Lincolnshire 
32UB
32UC
32UD
32UE
32UF
32UG
32UH

34,,Northamptonshire 
34UB
34UC
34UD
34UE
34UF
34UG
34UH

37,,Nottinghamshire
37UB
37UC
37UD
37UE
37UF
37UG
37UJ

F,WEST MIDLANDS

00GA,,"Herefordshire, County of UA"
00GG,,Shropshire UA 
00GL,,Stoke-on-Trent UA
00GF,,Telford and Wrekin UA

41,,Staffordshire
41UB
41UC
41UD
41UE
41UF
41UG
41UH
41UK

44,,Warwickshire
44UB
44UC
44UD
44UE
44UF
